student_id,before_top1_job,before_top1_score,after_top1_job,after_top1_score,score_delta,top1_changed,snapshot_note,verdict
1,DevOps Engineer,0.9124,DevOps Engineer,0.9124,0.0,False,clean,ok
2,DevOps Engineer,0.712,DevOps Engineer,0.712,0.0,False,clean,ok
3,Full Stack Developer,0.8776,Full Stack Developer,0.8776,0.0,False,clean,ok
4,DevOps Engineer,0.6818,DevOps Engineer,0.6818,0.0,False,clean,ok
5,Data Scientist,0.775,Data Scientist,0.775,0.0,False,clean,ok
6,ML Engineer,0.8711,ML Engineer,0.7449,-0.1262,False,stale_snapshot,edge_case_handled
7,Product Manager,1.0,Product Manager,1.0,0.0,False,clean,ok
8,Data Scientist,0.9086,Data Scientist,0.9086,0.0,False,clean,ok
9,Data Scientist,0.8724,Data Scientist,0.7311,-0.1413,True,stale_snapshot,edge_case_handled
10,Frontend Developer,0.8626,Frontend Developer,0.8626,0.0,False,clean,ok
11,Backend Developer,0.9679,Backend Developer,0.9679,0.0,False,clean,ok
12,QA Engineer,0.7926,QA Engineer,0.7926,0.0,False,clean,ok
13,ML Engineer,0.7104,ML Engineer,0.7104,0.0,False,clean,ok
14,QA Engineer,0.8489,QA Engineer,0.8489,0.0,False,clean,ok
15,Business Analyst,0.8905,Business Analyst,0.8905,0.0,False,clean,ok
16,Frontend Developer,0.9007,Frontend Developer,0.9007,0.0,False,clean,ok
17,Product Manager,0.9577,Product Manager,0.9577,0.0,False,clean,ok
18,Data Scientist,0.7473,Data Scientist,0.7473,0.0,False,clean,ok
19,Data Scientist,0.8882,Data Scientist,0.8882,0.0,False,clean,ok
20,Product Manager,0.8946,Product Manager,0.8946,0.0,False,clean,ok
21,DevOps Engineer,0.9533,DevOps Engineer,0.9533,0.0,False,clean,ok
22,ML Engineer,0.9479,ML Engineer,0.9479,0.0,False,clean,ok
23,Data Analyst,1.0,Data Analyst,1.0,0.0,False,clean,ok
24,Product Manager,0.9255,Product Manager,0.9255,0.0,False,clean,ok
25,Product Manager,0.8818,Product Manager,0.8818,0.0,False,clean,ok
26,QA Engineer,0.8347,QA Engineer,0.8347,0.0,False,clean,ok
27,Frontend Developer,0.9213,Frontend Developer,0.9213,0.0,False,clean,ok
28,DevOps Engineer,0.8976,DevOps Engineer,0.8976,0.0,False,clean,ok
29,DevOps Engineer,0.9275,DevOps Engineer,0.9275,0.0,False,clean,ok
30,DevOps Engineer,0.8635,DevOps Engineer,0.8635,0.0,False,clean,ok
31,Data Analyst,1.0,Data Analyst,1.0,0.0,False,clean,ok
32,Data Analyst,0.8262,Data Analyst,0.8262,0.0,False,clean,ok
33,ML Engineer,0.799,ML Engineer,0.799,0.0,False,clean,ok
34,Business Analyst,0.9025,Business Analyst,0.9025,0.0,False,clean,ok
35,Product Manager,0.6781,Product Manager,0.6781,0.0,False,clean,ok
36,Backend Developer,1.0,Backend Developer,1.0,0.0,False,clean,ok
37,ML Engineer,0.6231,ML Engineer,0.6231,0.0,False,clean,ok
38,Frontend Developer,0.7881,Frontend Developer,0.7881,0.0,False,clean,ok
39,Data Analyst,0.7408,Data Analyst,0.7408,0.0,False,clean,ok
40,Backend Developer,1.0,Backend Developer,1.0,0.0,False,clean,ok
41,Backend Developer,0.9756,Backend Developer,0.9756,0.0,False,clean,ok
42,Backend Developer,0.867,Backend Developer,0.867,0.0,False,clean,ok
43,Data Scientist,1.0,Data Scientist,1.0,0.0,False,clean,ok
44,Full Stack Developer,0.8151,Full Stack Developer,0.8151,0.0,False,clean,ok
45,Business Analyst,0.7383,Business Analyst,0.7383,0.0,False,clean,ok
46,Backend Developer,0.9756,Backend Developer,0.9756,0.0,False,clean,ok
47,Full Stack Developer,0.8454,Full Stack Developer,0.8454,0.0,False,clean,ok
48,Backend Developer,0.8371,Backend Developer,0.8371,0.0,False,clean,ok
49,Business Analyst,0.643,Business Analyst,0.643,0.0,False,clean,ok
50,DevOps Engineer,0.8434,DevOps Engineer,0.8434,0.0,False,clean,ok
51,QA Engineer,0.9746,QA Engineer,0.9746,0.0,False,clean,ok
52,Product Manager,0.8571,Product Manager,0.8571,0.0,False,clean,ok
53,Product Manager,0.8889,Product Manager,0.7871,-0.1018,True,stale_snapshot,edge_case_handled
54,Business Analyst,0.8072,Business Analyst,0.8072,0.0,False,clean,ok
55,DevOps Engineer,0.858,DevOps Engineer,0.858,0.0,False,clean,ok
56,Backend Developer,1.0,Backend Developer,1.0,0.0,False,clean,ok
57,DevOps Engineer,0.8527,DevOps Engineer,0.8527,0.0,False,clean,ok
58,QA Engineer,0.9119,QA Engineer,0.9119,0.0,False,clean,ok
59,Backend Developer,0.9756,Backend Developer,0.9756,0.0,False,clean,ok
60,Data Analyst,0.9115,Data Analyst,0.9115,0.0,False,clean,ok
61,Data Scientist,0.8616,Data Scientist,0.8616,0.0,False,clean,ok
62,QA Engineer,0.9302,QA Engineer,0.9302,0.0,False,clean,ok
63,Business Analyst,0.849,Business Analyst,0.849,0.0,False,clean,ok
64,Frontend Developer,0.7236,Frontend Developer,0.7236,0.0,False,clean,ok
65,DevOps Engineer,0.9337,DevOps Engineer,0.9337,0.0,False,clean,ok
66,Backend Developer,0.7258,Backend Developer,0.7258,0.0,False,clean,ok
67,ML Engineer,0.924,ML Engineer,0.924,0.0,False,clean,ok
68,Backend Developer,0.7687,Backend Developer,0.6759,-0.0928,False,stale_snapshot,edge_case_handled
69,ML Engineer,0.9759,ML Engineer,0.9759,0.0,False,clean,ok
70,Full Stack Developer,0.981,Full Stack Developer,0.981,0.0,False,clean,ok
71,ML Engineer,0.7629,ML Engineer,0.7629,0.0,False,clean,ok
72,QA Engineer,1.0,QA Engineer,1.0,0.0,False,clean,ok
73,Business Analyst,0.8434,Business Analyst,0.8434,0.0,False,clean,ok
74,Data Scientist,0.9149,Data Scientist,0.9149,0.0,False,clean,ok
75,Full Stack Developer,0.9297,Full Stack Developer,0.9297,0.0,False,clean,ok
76,Data Analyst,0.7821,Data Analyst,0.7821,0.0,False,clean,ok
77,Frontend Developer,0.7385,Frontend Developer,0.7385,0.0,False,clean,ok
78,Frontend Developer,0.8969,Frontend Developer,0.8969,0.0,False,clean,ok
79,Product Manager,0.7962,Product Manager,0.7738,-0.0224,True,stale_snapshot,edge_case_handled
80,ML Engineer,0.8847,ML Engineer,0.8847,0.0,False,clean,ok
81,Product Manager,0.8178,Product Manager,0.8178,0.0,False,clean,ok
82,Business Analyst,0.7985,Business Analyst,0.7985,0.0,False,clean,ok
83,Full Stack Developer,0.9542,Full Stack Developer,0.9542,0.0,False,clean,ok
84,Data Analyst,0.7825,Data Analyst,0.7825,0.0,False,clean,ok
85,Data Scientist,0.7017,Data Scientist,0.7017,0.0,False,clean,ok
86,Backend Developer,0.8229,Backend Developer,0.8229,0.0,False,clean,ok
87,ML Engineer,0.7821,ML Engineer,0.7821,0.0,False,clean,ok
88,DevOps Engineer,0.8546,DevOps Engineer,0.8546,0.0,False,clean,ok
89,ML Engineer,0.767,ML Engineer,0.767,0.0,False,clean,ok
90,Data Scientist,0.8821,Data Scientist,0.8821,0.0,False,clean,ok
91,Full Stack Developer,0.981,Full Stack Developer,0.981,0.0,False,clean,ok
92,Business Analyst,0.801,Business Analyst,0.801,0.0,False,clean,ok
93,Full Stack Developer,0.7765,Full Stack Developer,0.7765,0.0,False,clean,ok
94,DevOps Engineer,0.8293,DevOps Engineer,0.8293,0.0,False,clean,ok
95,Business Analyst,0.7992,Business Analyst,0.7992,0.0,False,clean,ok
96,Frontend Developer,0.87,Frontend Developer,0.87,0.0,False,clean,ok
97,Product Manager,0.771,Product Manager,0.771,0.0,False,clean,ok
98,DevOps Engineer,0.7441,DevOps Engineer,0.7441,0.0,False,clean,ok
99,QA Engineer,0.86,QA Engineer,0.86,0.0,False,clean,ok
100,Frontend Developer,0.8188,Frontend Developer,0.8188,0.0,False,clean,ok
101,DevOps Engineer,0.9094,DevOps Engineer,0.9094,0.0,False,clean,ok
102,Frontend Developer,1.0,Frontend Developer,1.0,0.0,False,clean,ok
103,Data Analyst,0.8955,Data Analyst,0.8955,0.0,False,clean,ok
104,Business Analyst,0.7649,Business Analyst,0.7649,0.0,False,clean,ok
105,Data Analyst,0.6339,Data Analyst,0.6339,0.0,False,clean,ok
106,Data Scientist,0.8834,Data Scientist,0.8834,0.0,False,clean,ok
107,DevOps Engineer,0.8546,DevOps Engineer,0.8546,0.0,False,clean,ok
108,Backend Developer,0.7498,Backend Developer,0.7498,0.0,False,clean,ok
109,ML Engineer,0.898,ML Engineer,0.898,0.0,False,clean,ok
110,Full Stack Developer,0.8477,Full Stack Developer,0.8477,0.0,False,clean,ok
111,ML Engineer,0.7329,ML Engineer,0.7329,0.0,False,clean,ok
112,DevOps Engineer,0.9309,DevOps Engineer,0.9309,0.0,False,clean,ok
113,Business Analyst,1.0,Business Analyst,1.0,0.0,False,clean,ok
114,DevOps Engineer,0.8202,DevOps Engineer,0.8202,0.0,False,clean,ok
115,QA Engineer,0.8347,QA Engineer,0.8347,0.0,False,clean,ok
116,Backend Developer,0.8557,Backend Developer,0.8557,0.0,False,clean,ok
117,Data Scientist,0.7115,Data Scientist,0.7115,0.0,False,clean,ok
118,Backend Developer,0.9603,Backend Developer,0.9603,0.0,False,clean,ok
119,Frontend Developer,0.6582,Frontend Developer,0.6582,0.0,False,clean,ok
120,Full Stack Developer,0.8646,Full Stack Developer,0.8646,0.0,False,clean,ok
121,DevOps Engineer,1.0,DevOps Engineer,1.0,0.0,False,clean,ok
122,DevOps Engineer,1.0,DevOps Engineer,1.0,0.0,False,clean,ok
123,Data Scientist,1.0,Data Scientist,1.0,0.0,False,clean,ok
124,Business Analyst,0.8905,Business Analyst,0.8905,0.0,False,clean,ok
125,QA Engineer,0.8872,QA Engineer,0.8872,0.0,False,clean,ok
126,Data Analyst,0.7889,Data Analyst,0.7889,0.0,False,clean,ok
127,Data Analyst,0.9585,Data Analyst,0.9585,0.0,False,clean,ok
128,Data Analyst,0.7357,Data Analyst,0.7357,0.0,False,clean,ok
129,Data Scientist,0.9086,Data Scientist,0.9086,0.0,False,clean,ok
130,Data Scientist,0.8572,Data Scientist,0.8572,0.0,False,clean,ok
131,QA Engineer,0.8415,QA Engineer,0.8415,0.0,False,clean,ok
132,Data Scientist,0.8856,Data Scientist,0.8856,0.0,False,clean,ok
133,Data Scientist,0.8256,Data Scientist,0.8256,0.0,False,clean,ok
134,Frontend Developer,0.9189,Frontend Developer,0.9189,0.0,False,clean,ok
135,Frontend Developer,0.6462,Frontend Developer,0.6462,0.0,False,clean,ok
136,QA Engineer,0.86,QA Engineer,0.86,0.0,False,clean,ok
137,ML Engineer,0.8843,ML Engineer,0.8843,0.0,False,clean,ok
138,Backend Developer,0.9551,Backend Developer,0.9551,0.0,False,clean,ok
139,Product Manager,1.0,Product Manager,1.0,0.0,False,clean,ok
140,Product Manager,0.8588,Product Manager,0.8588,0.0,False,clean,ok
141,Data Scientist,0.9648,Data Scientist,0.9648,0.0,False,clean,ok
142,QA Engineer,0.8347,QA Engineer,0.8347,0.0,False,clean,ok
143,Full Stack Developer,0.8533,Full Stack Developer,0.8533,0.0,False,clean,ok
144,Data Scientist,0.7159,Data Scientist,0.7159,0.0,False,clean,ok
145,Data Scientist,0.915,Data Scientist,0.915,0.0,False,clean,ok
146,ML Engineer,0.9335,ML Engineer,0.8401,-0.0934,False,stale_snapshot,edge_case_handled
147,DevOps Engineer,0.8109,DevOps Engineer,0.8109,0.0,False,clean,ok
148,QA Engineer,0.9746,QA Engineer,0.9746,0.0,False,clean,ok
149,Full Stack Developer,0.8212,Full Stack Developer,0.8212,0.0,False,clean,ok
150,ML Engineer,0.9166,ML Engineer,0.9166,0.0,False,clean,ok
151,Business Analyst,0.876,Business Analyst,0.876,0.0,False,clean,ok
152,Frontend Developer,0.6554,Frontend Developer,0.6554,0.0,False,clean,ok
153,Frontend Developer,0.7952,Frontend Developer,0.7952,0.0,False,clean,ok
154,Business Analyst,0.6679,Business Analyst,0.6679,0.0,False,clean,ok
155,Backend Developer,0.8702,Backend Developer,0.8702,0.0,False,clean,ok
156,Frontend Developer,0.9049,Frontend Developer,0.9049,0.0,False,clean,ok
157,DevOps Engineer,0.8236,DevOps Engineer,0.8236,0.0,False,clean,ok
158,Backend Developer,0.6624,Backend Developer,0.6624,0.0,False,clean,ok
159,ML Engineer,0.8034,ML Engineer,0.8034,0.0,False,clean,ok
160,Business Analyst,1.0,Business Analyst,1.0,0.0,False,clean,ok
161,QA Engineer,0.9532,QA Engineer,0.9532,0.0,False,clean,ok
162,Full Stack Developer,0.866,Full Stack Developer,0.866,0.0,False,clean,ok
163,Data Scientist,0.9739,Data Scientist,0.9739,0.0,False,clean,ok
164,Backend Developer,0.9146,Backend Developer,0.9146,0.0,False,clean,ok
165,Full Stack Developer,0.981,Full Stack Developer,0.981,0.0,False,clean,ok
166,DevOps Engineer,0.7285,DevOps Engineer,0.7725,0.044,True,stale_snapshot,edge_case_handled
167,Data Scientist,0.8697,Data Scientist,0.8697,0.0,False,clean,ok
168,ML Engineer,0.8037,ML Engineer,0.8037,0.0,False,clean,ok
169,Data Scientist,0.7679,Data Scientist,0.7679,0.0,False,clean,ok
170,Data Scientist,0.8572,Data Scientist,0.8572,0.0,False,clean,ok
171,QA Engineer,0.7483,QA Engineer,0.7483,0.0,False,clean,ok
172,QA Engineer,0.9319,QA Engineer,0.9319,0.0,False,clean,ok
173,Product Manager,0.9062,Product Manager,0.9062,0.0,False,clean,ok
174,Frontend Developer,0.7277,Frontend Developer,0.7277,0.0,False,clean,ok
175,Backend Developer,0.9756,Backend Developer,0.9756,0.0,False,clean,ok
176,Backend Developer,1.0,Backend Developer,1.0,0.0,False,clean,ok
177,ML Engineer,0.7754,ML Engineer,0.7754,0.0,False,clean,ok
178,Frontend Developer,0.9189,Frontend Developer,0.9189,0.0,False,clean,ok
179,Frontend Developer,0.8783,Frontend Developer,0.8783,0.0,False,clean,ok
180,DevOps Engineer,1.0,DevOps Engineer,1.0,0.0,False,clean,ok
181,Data Scientist,0.905,Data Scientist,0.905,0.0,False,clean,ok
182,Business Analyst,0.9333,Business Analyst,0.9333,0.0,False,clean,ok
183,Data Analyst,0.9688,Data Analyst,0.9688,0.0,False,clean,ok
184,QA Engineer,0.8632,QA Engineer,0.8632,0.0,False,clean,ok
185,Product Manager,0.7478,Product Manager,0.7478,0.0,False,clean,ok
186,Data Analyst,0.8114,Data Analyst,0.8114,0.0,False,clean,ok
187,Data Scientist,0.8908,Data Scientist,0.8908,0.0,False,clean,ok
188,Data Scientist,0.8185,Data Scientist,0.8185,0.0,False,clean,ok
189,Backend Developer,0.8653,Backend Developer,0.8653,0.0,False,clean,ok
190,Data Scientist,0.8027,Data Scientist,0.8027,0.0,False,clean,ok
191,Data Scientist,1.0,Data Scientist,1.0,0.0,False,clean,ok
192,Product Manager,0.9062,Product Manager,0.9062,0.0,False,clean,ok
193,QA Engineer,0.9405,QA Engineer,0.9405,0.0,False,clean,ok
194,DevOps Engineer,0.7586,DevOps Engineer,0.7586,0.0,False,clean,ok
195,Data Scientist,0.7622,Data Scientist,0.7622,0.0,False,clean,ok
196,Business Analyst,0.6901,Business Analyst,0.6901,0.0,False,clean,ok
197,DevOps Engineer,0.9094,DevOps Engineer,0.9094,0.0,False,clean,ok
198,Backend Developer,1.0,Backend Developer,1.0,0.0,False,clean,ok
199,QA Engineer,0.8363,QA Engineer,0.8363,0.0,False,clean,ok
200,Product Manager,0.8783,Product Manager,0.8783,0.0,False,clean,ok
201,Product Manager,0.9713,Product Manager,0.9713,0.0,False,clean,ok
202,Full Stack Developer,0.6862,Full Stack Developer,0.6862,0.0,False,clean,ok
203,Backend Developer,0.9141,Backend Developer,0.9141,0.0,False,clean,ok
204,Data Analyst,0.7502,Data Analyst,0.7502,0.0,False,clean,ok
205,Backend Developer,1.0,Backend Developer,1.0,0.0,False,clean,ok
206,DevOps Engineer,0.7475,DevOps Engineer,0.7475,0.0,False,clean,ok
207,Full Stack Developer,0.6901,Full Stack Developer,0.6901,0.0,False,clean,ok
208,QA Engineer,0.7344,QA Engineer,0.7344,0.0,False,clean,ok
209,Full Stack Developer,0.8215,Full Stack Developer,0.8215,0.0,False,clean,ok
210,ML Engineer,0.8174,ML Engineer,0.8174,0.0,False,clean,ok
211,Business Analyst,0.8632,Business Analyst,0.8632,0.0,False,clean,ok
212,DevOps Engineer,0.8236,DevOps Engineer,0.8236,0.0,False,clean,ok
213,QA Engineer,0.8435,QA Engineer,0.8435,0.0,False,clean,ok
214,DevOps Engineer,0.8719,DevOps Engineer,0.8719,0.0,False,clean,ok
215,Product Manager,0.8571,Product Manager,0.8571,0.0,False,clean,ok
216,Data Analyst,0.8579,Data Analyst,0.8579,0.0,False,clean,ok
217,Frontend Developer,0.8946,Frontend Developer,0.8946,0.0,False,clean,ok
218,Product Manager,0.7677,Product Manager,0.7677,0.0,False,clean,ok
219,DevOps Engineer,0.7137,DevOps Engineer,0.7137,0.0,False,clean,ok
220,QA Engineer,0.5902,QA Engineer,0.5902,0.0,False,clean,ok
221,Frontend Developer,0.8921,Frontend Developer,0.8921,0.0,False,clean,ok
222,Product Manager,1.0,Product Manager,1.0,0.0,False,clean,ok
223,ML Engineer,0.9759,ML Engineer,0.9759,0.0,False,clean,ok
224,Full Stack Developer,0.981,Full Stack Developer,0.981,0.0,False,clean,ok
225,ML Engineer,0.7668,ML Engineer,0.7668,0.0,False,clean,ok
226,Data Scientist,0.8146,Data Scientist,0.8146,0.0,False,clean,ok
227,DevOps Engineer,0.8117,DevOps Engineer,0.8117,0.0,False,clean,ok
228,ML Engineer,0.9099,ML Engineer,0.9099,0.0,False,clean,ok
229,Business Analyst,0.8862,Business Analyst,0.8862,0.0,False,clean,ok
230,Product Manager,0.9062,Product Manager,0.9062,0.0,False,clean,ok
231,Business Analyst,0.6869,Business Analyst,0.6869,0.0,False,clean,ok
232,Data Analyst,0.9688,Data Analyst,0.9688,0.0,False,clean,ok
233,Data Analyst,0.9688,Data Analyst,0.9688,0.0,False,clean,ok
234,ML Engineer,0.9052,ML Engineer,0.9052,0.0,False,clean,ok
235,ML Engineer,0.6901,ML Engineer,0.6901,0.0,False,clean,ok
236,Full Stack Developer,0.9056,Full Stack Developer,0.9056,0.0,False,clean,ok
237,Data Analyst,0.8254,,,,,empty_snapshot,edge_case_no_data
238,Data Scientist,0.8656,Data Scientist,0.8656,0.0,False,clean,ok
239,Backend Developer,0.8958,Backend Developer,0.8958,0.0,False,clean,ok
240,DevOps Engineer,0.8976,DevOps Engineer,0.8976,0.0,False,clean,ok
241,Full Stack Developer,0.8964,Full Stack Developer,0.8964,0.0,False,clean,ok
242,QA Engineer,0.6742,QA Engineer,0.6742,0.0,False,clean,ok
243,Data Scientist,1.0,Data Scientist,1.0,0.0,False,clean,ok
244,Business Analyst,0.9261,Business Analyst,0.9261,0.0,False,clean,ok
245,DevOps Engineer,0.8782,DevOps Engineer,0.8782,0.0,False,clean,ok
246,QA Engineer,0.86,QA Engineer,0.86,0.0,False,clean,ok
247,Data Scientist,0.7875,Data Scientist,0.7875,0.0,False,clean,ok
248,Business Analyst,0.9246,Business Analyst,0.9246,0.0,False,clean,ok
249,Data Analyst,1.0,Data Analyst,1.0,0.0,False,clean,ok
250,Frontend Developer,0.6234,Frontend Developer,0.6234,0.0,False,clean,ok
251,Business Analyst,0.8591,Business Analyst,0.8591,0.0,False,clean,ok
252,DevOps Engineer,0.8373,DevOps Engineer,0.8373,0.0,False,clean,ok
253,Business Analyst,0.8406,Business Analyst,0.8406,0.0,False,clean,ok
254,QA Engineer,0.8957,QA Engineer,0.8957,0.0,False,clean,ok
255,Frontend Developer,0.9109,Frontend Developer,0.9109,0.0,False,clean,ok
256,ML Engineer,0.834,ML Engineer,0.834,0.0,False,clean,ok
257,QA Engineer,0.9746,QA Engineer,0.9746,0.0,False,clean,ok
258,Product Manager,0.7593,Product Manager,0.7593,0.0,False,clean,ok
259,Product Manager,0.9128,Product Manager,0.9128,0.0,False,clean,ok
260,ML Engineer,0.7242,ML Engineer,0.7242,0.0,False,clean,ok
261,DevOps Engineer,0.7354,DevOps Engineer,0.7354,0.0,False,clean,ok
262,QA Engineer,0.8872,QA Engineer,0.8872,0.0,False,clean,ok
263,ML Engineer,0.7829,ML Engineer,0.7829,0.0,False,clean,ok
264,Product Manager,0.8495,Product Manager,0.8495,0.0,False,clean,ok
265,DevOps Engineer,0.8347,DevOps Engineer,0.8347,0.0,False,clean,ok
266,Data Analyst,1.0,Data Analyst,1.0,0.0,False,clean,ok
267,Product Manager,0.745,Product Manager,0.745,0.0,False,clean,ok
268,Business Analyst,0.8783,Business Analyst,0.8783,0.0,False,clean,ok
269,Data Scientist,0.915,Data Scientist,0.915,0.0,False,clean,ok
270,DevOps Engineer,0.9004,DevOps Engineer,0.9004,0.0,False,clean,ok
271,Business Analyst,0.9246,Business Analyst,0.9246,0.0,False,clean,ok
272,Data Analyst,0.8674,Data Analyst,0.8674,0.0,False,clean,ok
273,Backend Developer,0.9377,Backend Developer,0.9377,0.0,False,clean,ok
274,QA Engineer,0.9746,QA Engineer,0.9746,0.0,False,clean,ok
275,Frontend Developer,0.8619,Frontend Developer,0.8619,0.0,False,clean,ok
276,Data Scientist,0.8449,Data Scientist,0.8572,0.0123,True,stale_snapshot,edge_case_handled
277,Backend Developer,0.9603,Backend Developer,0.9603,0.0,False,clean,ok
278,QA Engineer,0.83,QA Engineer,0.83,0.0,False,clean,ok
279,DevOps Engineer,0.9252,DevOps Engineer,0.9252,0.0,False,clean,ok
280,Product Manager,0.8562,Product Manager,0.8562,0.0,False,clean,ok
281,Frontend Developer,0.889,Frontend Developer,0.889,0.0,False,clean,ok
282,Business Analyst,0.7635,Business Analyst,0.7635,0.0,False,clean,ok
283,Data Analyst,0.8483,Data Analyst,0.6805,-0.1678,False,stale_snapshot,edge_case_handled
284,Full Stack Developer,0.9118,Full Stack Developer,0.9118,0.0,False,clean,ok
285,Full Stack Developer,0.8235,Full Stack Developer,0.8235,0.0,False,clean,ok
286,Frontend Developer,0.8219,Frontend Developer,0.8219,0.0,False,clean,ok
287,Data Scientist,0.6859,Data Scientist,0.6859,0.0,False,clean,ok
288,Frontend Developer,0.8877,Frontend Developer,0.8877,0.0,False,clean,ok
289,Full Stack Developer,0.981,Full Stack Developer,0.981,0.0,False,clean,ok
290,Frontend Developer,0.8758,Frontend Developer,0.8758,0.0,False,clean,ok
291,Business Analyst,0.7396,Business Analyst,0.7396,0.0,False,clean,ok
292,DevOps Engineer,0.9314,DevOps Engineer,0.9314,0.0,False,clean,ok
293,Frontend Developer,0.8415,Frontend Developer,0.8415,0.0,False,clean,ok
294,Product Manager,0.771,Product Manager,0.771,0.0,False,clean,ok
295,Frontend Developer,1.0,Frontend Developer,1.0,0.0,False,clean,ok
296,Frontend Developer,1.0,Frontend Developer,1.0,0.0,False,clean,ok
297,Business Analyst,0.8445,Business Analyst,0.8445,0.0,False,clean,ok
298,Data Analyst,1.0,Data Analyst,0.8937,-0.1063,False,stale_snapshot,edge_case_handled
299,Data Scientist,0.8238,Data Scientist,0.8238,0.0,False,clean,ok
300,ML Engineer,0.8285,ML Engineer,0.8285,0.0,False,clean,ok
